"ID"	"Sex"	"MetaPref"	"Musicianship"	"Ollen_Score"	"valence"	"chord"	"register"	"inversion"	"tension"	"energy"	"consonance"	"preference"
"S48"	"male"	"UpbeatAndConventional"	"Non-musician"	104	6	"Major"	"High"	"Root"	2	4	6	5
"S49"	"male"	"ReflectiveAndComplex"	"Musician"	989	6	"Major"	"High"	"Root"	3	4	6	4
"S50"	"male"	"EnergeticAndRhythmic"	"Non-musician"	366	7	"Major"	"High"	"Root"	2	3	7	4
"S51"	"male"	"IntenseAndRebellious"	"Musician"	550	7	"Major"	"High"	"Root"	2	7	7	7
"S52"	"female"	"IntenseAndRebellious"	"Musician"	622	5	"Major"	"High"	"Root"	4	4	5	5
"S53"	"male"	"ReflectiveAndComplex"	"Musician"	995	6	"Major"	"High"	"Root"	2	2	6	4
"S54"	"female"	"ReflectiveAndComplex"	"Musician"	857	7	"Major"	"High"	"Root"	1	4	6	6
"S55"	"female"	"EnergeticAndRhythmic"	"Musician"	983	7	"Major"	"High"	"Root"	1	3	7	3
"S56"	"female"	"IntenseAndRebellious"	"Musician"	882	5	"Major"	"High"	"Root"	2	6	7	4
"S57"	"male"	"ReflectiveAndComplex"	"Musician"	627	6	"Major"	"High"	"Root"	3	4	6	4
"S58"	"male"	"ReflectiveAndComplex"	"Non-musician"	301	4	"Major"	"High"	"Root"	3	4	5	3
"S59"	"female"	"ReflectiveAndComplex"	"Musician"	670	6	"Major"	"High"	"Root"	1	4	7	5
"S60"	"male"	"IntenseAndRebellious"	"Musician"	697	5	"Major"	"High"	"Root"	2	4	6	5
"S61"	"male"	"UpbeatAndConventional"	"Musician"	697	4	"Major"	"High"	"Root"	4	3	7	1
"S62"	"male"	"ReflectiveAndComplex"	"Musician"	864	6	"Major"	"High"	"Root"	2	3	5	6
"S63"	"male"	"IntenseAndRebellious"	"Musician"	860	7	"Major"	"High"	"Root"	1	3	7	4
"S64"	"male"	"ReflectiveAndComplex"	"Musician"	927	3	"Major"	"High"	"Root"	4	3	4	4
"S65"	"female"	"ReflectiveAndComplex"	"Musician"	964	6	"Major"	"High"	"Root"	3	4	6	4
"S66"	"female"	"EnergeticAndRhythmic"	"Non-musician"	145	5	"Major"	"High"	"Root"	5	6	5	5
"S67"	"female"	"ReflectiveAndComplex"	"Non-musician"	182	6	"Major"	"High"	"Root"	1	4	7	3
"S68"	"female"	"ReflectiveAndComplex"	"Musician"	564	6	"Major"	"High"	"Root"	5	5	5	6
"S69"	"female"	"ReflectiveAndComplex"	"Musician"	853	4	"Major"	"High"	"Root"	2	3	6	5
"S70"	"male"	"IntenseAndRebellious"	"Non-musician"	468	7	"Major"	"High"	"Root"	2	5	7	3
"S71"	"male"	"ReflectiveAndComplex"	"Musician"	977	6	"Major"	"High"	"Root"	3	4	6	4
"S72"	"male"	"IntenseAndRebellious"	"Musician"	817	5	"Major"	"High"	"Root"	6	5	5	2
"S73"	"male"	"UpbeatAndConventional"	"Musician"	877	7	"Major"	"High"	"Root"	1	2	6	4
"S74"	"female"	"UpbeatAndConventional"	"Musician"	682	6	"Major"	"High"	"Root"	5	5	5	4
"S75"	"female"	"EnergeticAndRhythmic"	"Musician"	815	5	"Major"	"High"	"Root"	2	2	5	4
"S76"	"male"	"ReflectiveAndComplex"	"Non-musician"	490	4	"Major"	"High"	"Root"	2	3	6	4
"S77"	"female"	"UpbeatAndConventional"	"Non-musician"	273	4	"Major"	"High"	"Root"	6	6	4	6
"S78"	"female"	"ReflectiveAndComplex"	"Musician"	872	7	"Major"	"High"	"Root"	1	3	7	5
"S79"	"female"	"UpbeatAndConventional"	"Non-musician"	89	5	"Major"	"High"	"Root"	4	3	4	4
"S80"	"female"	"UpbeatAndConventional"	"Non-musician"	209	6	"Major"	"High"	"Root"	1	5	6	5
"S81"	"male"	"ReflectiveAndComplex"	"Non-musician"	164	6	"Major"	"High"	"Root"	2	5	7	5
"S82"	"male"	"ReflectiveAndComplex"	"Musician"	999	6	"Major"	"High"	"Root"	3	4	6	4
"S83"	"female"	"IntenseAndRebellious"	"Non-musician"	86	7	"Major"	"High"	"Root"	6	6	3	6
"S84"	"male"	"EnergeticAndRhythmic"	"Non-musician"	100	5	"Major"	"High"	"Root"	3	5	4	4
"S85"	"male"	"ReflectiveAndComplex"	"Musician"	980	6	"Major"	"High"	"Root"	1	3	7	6
"S86"	"male"	"EnergeticAndRhythmic"	"Non-musician"	117	5	"Major"	"High"	"Root"	2	2	4	6
"S87"	"female"	"UpbeatAndConventional"	"Non-musician"	244	6	"Major"	"High"	"Root"	3	5	6	3
"S88"	"female"	"IntenseAndRebellious"	"Non-musician"	314	7	"Major"	"High"	"Root"	4	4	4	4
"S89"	"female"	"ReflectiveAndComplex"	"Musician"	783	3	"Major"	"High"	"Root"	3	5	7	2
"S90"	"female"	"ReflectiveAndComplex"	"Musician"	820	6	"Major"	"High"	"Root"	2	3	6	4
"S91"	"female"	"ReflectiveAndComplex"	"Musician"	836	5	"Major"	"High"	"Root"	2	4	4	3
"S92"	"female"	"IntenseAndRebellious"	"Non-musician"	280	6	"Major"	"High"	"Root"	2	4	6	3
"S93"	"male"	"ReflectiveAndComplex"	"Musician"	537	5	"Major"	"High"	"Root"	2	1	7	2
"S94"	"male"	"UpbeatAndConventional"	"Non-musician"	340	7	"Major"	"High"	"Root"	2	5	6	6
"S95"	"male"	"ReflectiveAndComplex"	"Musician"	989	6	"Major"	"High"	"Root"	2	3	7	4
"S96"	"male"	"ReflectiveAndComplex"	"Musician"	956	6	"Major"	"High"	"Root"	2	3	7	4
"S97"	"male"	"ReflectiveAndComplex"	"Non-musician"	387	4	"Major"	"High"	"Root"	3	6	5	5
"S98"	"male"	"ReflectiveAndComplex"	"Musician"	738	7	"Major"	"High"	"Root"	1	7	7	7
"S99"	"female"	"ReflectiveAndComplex"	"Musician"	559	5	"Major"	"High"	"Root"	3	4	4	3
"S100"	"female"	"ReflectiveAndComplex"	"Musician"	994	6	"Major"	"High"	"Root"	3	4	6	4
"S101"	"female"	"UpbeatAndConventional"	"Non-musician"	210	7	"Major"	"High"	"Root"	1	7	7	7
"S102"	"female"	"UpbeatAndConventional"	"Musician"	996	1	"Major"	"High"	"Root"	2	2	6	6
"S103"	"male"	"ReflectiveAndComplex"	"Musician"	797	5	"Major"	"High"	"Root"	1	2	7	2
"S104"	"female"	"ReflectiveAndComplex"	"Musician"	996	7	"Major"	"High"	"Root"	6	4	7	7
"S105"	"female"	"ReflectiveAndComplex"	"Musician"	612	7	"Major"	"High"	"Root"	1	5	7	4
"S106"	"male"	"UpbeatAndConventional"	"Non-musician"	100	6	"Major"	"High"	"Root"	3	4	6	4
"S107"	"male"	"ReflectiveAndComplex"	"Non-musician"	158	6	"Major"	"High"	"Root"	2	2	7	2
"S108"	"male"	"IntenseAndRebellious"	"Non-musician"	128	6	"Major"	"High"	"Root"	3	6	6	6
"S109"	"male"	"ReflectiveAndComplex"	"Musician"	997	4	"Major"	"High"	"Root"	3	3	5	4
"S110"	"male"	"ReflectiveAndComplex"	"Musician"	967	7	"Major"	"High"	"Root"	1	3	7	5
"S111"	"female"	"ReflectiveAndComplex"	"Musician"	514	3	"Major"	"High"	"Root"	4	4	4	4
"S112"	"female"	"IntenseAndRebellious"	"Non-musician"	32	6	"Major"	"High"	"Root"	7	6	7	6
"S113"	"female"	"ReflectiveAndComplex"	"Musician"	954	5	"Major"	"High"	"Root"	4	4	6	4
"S114"	"female"	"ReflectiveAndComplex"	"Non-musician"	472	7	"Major"	"High"	"Root"	1	2	7	7
"S115"	"female"	"ReflectiveAndComplex"	"Musician"	846	5	"Major"	"High"	"Root"	2	4	6	4
"S116"	"male"	"ReflectiveAndComplex"	"Non-musician"	405	6	"Major"	"High"	"Root"	3	4	6	4
"S117"	"female"	"ReflectiveAndComplex"	"Musician"	516	6	"Major"	"High"	"Root"	2	4	7	5
"S118"	"female"	"ReflectiveAndComplex"	"Non-musician"	387	7	"Major"	"High"	"Root"	1	3	5	4
"S119"	"female"	"ReflectiveAndComplex"	"Musician"	985	7	"Major"	"High"	"Root"	1	2	7	1
"S120"	"female"	"ReflectiveAndComplex"	"Musician"	933	6	"Major"	"High"	"Root"	2	4	6	3
"S121"	"female"	"IntenseAndRebellious"	"Non-musician"	119	7	"Major"	"High"	"Root"	1	7	7	5
"S122"	"male"	"ReflectiveAndComplex"	"Musician"	913	5	"Major"	"High"	"Root"	3	4	6	2
"S123"	"female"	"UpbeatAndConventional"	"Non-musician"	118	4	"Major"	"High"	"Root"	3	4	5	4
"S124"	"male"	"ReflectiveAndComplex"	"Non-musician"	100	7	"Major"	"High"	"Root"	2	5	5	5
"S125"	"male"	"IntenseAndRebellious"	"Non-musician"	351	3	"Major"	"High"	"Root"	5	4	4	3
"S126"	"male"	"ReflectiveAndComplex"	"Musician"	944	5	"Major"	"High"	"Root"	2	4	5	5
"S127"	"male"	"EnergeticAndRhythmic"	"Non-musician"	55	5	"Major"	"High"	"Root"	5	5	4	6
"S128"	"female"	"UpbeatAndConventional"	"Non-musician"	111	6	"Major"	"High"	"Root"	6	6	4	5
"S129"	"male"	"EnergeticAndRhythmic"	"Musician"	910	6	"Major"	"High"	"Root"	2	2	7	4
"S130"	"male"	"ReflectiveAndComplex"	"Musician"	949	5	"Major"	"High"	"Root"	2	2	6	3
"S131"	"female"	"UpbeatAndConventional"	"Musician"	990	6	"Major"	"High"	"Root"	2	4	5	6
"S132"	"male"	"ReflectiveAndComplex"	"Non-musician"	263	7	"Major"	"High"	"Root"	1	7	1	7
"S133"	"female"	"UpbeatAndConventional"	"Musician"	746	4	"Major"	"High"	"Root"	3	3	5	4
"S134"	"female"	"IntenseAndRebellious"	"Non-musician"	202	3	"Major"	"High"	"Root"	2	2	6	4
"S135"	"male"	"ReflectiveAndComplex"	"Musician"	694	6	"Major"	"High"	"Root"	3	4	6	4
"S136"	"male"	"IntenseAndRebellious"	"Musician"	987	6	"Major"	"High"	"Root"	1	4	5	5
"S137"	"female"	"UpbeatAndConventional"	"Non-musician"	39	6	"Major"	"High"	"Root"	1	4	6	3
"S138"	"female"	"IntenseAndRebellious"	"Non-musician"	107	6	"Major"	"High"	"Root"	2	5	6	6
"S139"	"male"	"ReflectiveAndComplex"	"Musician"	954	4	"Major"	"High"	"Root"	1	1	7	3
"S140"	"male"	"IntenseAndRebellious"	"Musician"	968	7	"Major"	"High"	"Root"	1	1	7	4
"S141"	"male"	"ReflectiveAndComplex"	"Non-musician"	251	4	"Major"	"High"	"Root"	3	3	4	3
"S142"	"female"	"IntenseAndRebellious"	"Musician"	987	4	"Major"	"High"	"Root"	5	5	3	3
"S143"	"female"	"ReflectiveAndComplex"	"Musician"	647	3	"Major"	"High"	"Root"	5	4	6	3
"S144"	"male"	"IntenseAndRebellious"	"Non-musician"	456	7	"Major"	"High"	"Root"	1	2	7	1
"S145"	"female"	"EnergeticAndRhythmic"	"Non-musician"	99	6	"Major"	"High"	"Root"	5	7	3	4
"S146"	"female"	"UpbeatAndConventional"	"Non-musician"	227	6	"Major"	"High"	"Root"	3	4	6	4
"S147"	"female"	"ReflectiveAndComplex"	"Non-musician"	74	6	"Major"	"High"	"Root"	6	6	4	6
"S148"	"female"	"UpbeatAndConventional"	"Non-musician"	99	6	"Major"	"High"	"Root"	3	4	6	4
"S149"	"female"	"UpbeatAndConventional"	"Musician"	986	7	"Major"	"High"	"Root"	1	5	7	7
"S150"	"female"	"UpbeatAndConventional"	"Non-musician"	85	7	"Major"	"High"	"Root"	4	5	6	5
"S151"	"male"	"IntenseAndRebellious"	"Musician"	583	7	"Major"	"High"	"Root"	1	5	7	7
"S152"	"female"	"ReflectiveAndComplex"	"Non-musician"	258	7	"Major"	"High"	"Root"	1	1	7	4
"S153"	"female"	"ReflectiveAndComplex"	"Non-musician"	282	7	"Major"	"High"	"Root"	1	6	7	6
"S154"	"male"	"ReflectiveAndComplex"	"Musician"	894	6	"Major"	"High"	"Root"	3	4	6	4
"S155"	"female"	"IntenseAndRebellious"	"Non-musician"	90	5	"Major"	"High"	"Root"	3	3	6	4
"S156"	"female"	"ReflectiveAndComplex"	"Non-musician"	296	5	"Major"	"High"	"Root"	2	2	6	4
"S157"	"female"	"IntenseAndRebellious"	"Musician"	618	6	"Major"	"High"	"Root"	5	5	7	5
"S158"	"male"	"ReflectiveAndComplex"	"Musician"	848	2	"Major"	"High"	"Root"	1	2	7	2
"S159"	"male"	"ReflectiveAndComplex"	"Musician"	928	5	"Major"	"High"	"Root"	2	2	6	3
"S160"	"female"	"ReflectiveAndComplex"	"Musician"	589	7	"Major"	"High"	"Root"	5	4	7	7
"S161"	"male"	"ReflectiveAndComplex"	"Musician"	972	6	"Major"	"High"	"Root"	1	3	7	4
"S162"	"female"	"ReflectiveAndComplex"	"Non-musician"	157	6	"Major"	"High"	"Root"	3	5	5	5
"S163"	"female"	"EnergeticAndRhythmic"	"Non-musician"	142	7	"Major"	"High"	"Root"	5	6	6	5
"S164"	"female"	"ReflectiveAndComplex"	"Non-musician"	396	2	"Major"	"High"	"Root"	3	2	5	2
"S165"	"male"	"EnergeticAndRhythmic"	"Non-musician"	395	5	"Major"	"High"	"Root"	4	2	3	4
"S166"	"female"	"IntenseAndRebellious"	"Non-musician"	309	6	"Major"	"High"	"Root"	1	4	6	5
"S167"	"female"	"ReflectiveAndComplex"	"Non-musician"	130	5	"Major"	"High"	"Root"	1	4	5	5
"S168"	"male"	"ReflectiveAndComplex"	"Non-musician"	356	6	"Major"	"High"	"Root"	3	4	6	4
"S169"	"male"	"ReflectiveAndComplex"	"Non-musician"	311	7	"Major"	"High"	"Root"	2	7	7	5
"S170"	"female"	"UpbeatAndConventional"	"Musician"	509	6	"Major"	"High"	"Root"	3	4	6	4
"S171"	"male"	"IntenseAndRebellious"	"Musician"	913	6	"Major"	"High"	"Root"	4	5	6	3
"S172"	"male"	"ReflectiveAndComplex"	"Non-musician"	88	7	"Major"	"High"	"Root"	6	6	6	3
"S173"	"female"	"ReflectiveAndComplex"	"Non-musician"	66	3	"Major"	"High"	"Root"	5	4	4	4
"S174"	"male"	"EnergeticAndRhythmic"	"Musician"	791	5	"Major"	"High"	"Root"	4	4	5	4
"S175"	"male"	"ReflectiveAndComplex"	"Musician"	959	3	"Major"	"High"	"Root"	4	3	3	3
"S176"	"female"	"ReflectiveAndComplex"	"Musician"	903	6	"Major"	"High"	"Root"	3	4	6	4
"S177"	"male"	"ReflectiveAndComplex"	"Non-musician"	460	4	"Major"	"High"	"Root"	4	1	4	4
"S178"	"male"	"ReflectiveAndComplex"	"Musician"	652	5	"Major"	"High"	"Root"	1	4	6	2
"S179"	"female"	"ReflectiveAndComplex"	"Musician"	759	7	"Major"	"High"	"Root"	1	1	4	4
"S180"	"male"	"ReflectiveAndComplex"	"Musician"	958	7	"Major"	"High"	"Root"	1	7	7	5
"S181"	"male"	"ReflectiveAndComplex"	"Musician"	732	4	"Major"	"High"	"Root"	1	3	7	4
"S182"	"male"	"ReflectiveAndComplex"	"Musician"	698	4	"Major"	"High"	"Root"	1	1	7	3
"S183"	"female"	"ReflectiveAndComplex"	"Musician"	995	7	"Major"	"High"	"Root"	1	5	7	2
"S184"	"female"	"ReflectiveAndComplex"	"Musician"	584	4	"Major"	"High"	"Root"	2	3	4	3
"S185"	"female"	"UpbeatAndConventional"	"Musician"	908	5	"Major"	"High"	"Root"	4	4	4	3
"S186"	"male"	"ReflectiveAndComplex"	"Musician"	769	7	"Major"	"High"	"Root"	3	4	7	5
"S187"	"female"	"ReflectiveAndComplex"	"Musician"	732	6	"Major"	"High"	"Root"	3	4	6	4
"S188"	"female"	"UpbeatAndConventional"	"Non-musician"	131	7	"Major"	"High"	"Root"	2	3	5	4
"S189"	"male"	"ReflectiveAndComplex"	"Musician"	967	6	"Major"	"High"	"Root"	3	4	6	4
"S190"	"female"	"IntenseAndRebellious"	"Musician"	643	5	"Major"	"High"	"Root"	5	6	6	6
"S191"	"female"	"UpbeatAndConventional"	"Non-musician"	175	6	"Major"	"High"	"Root"	4	3	3	3
"S192"	"female"	"ReflectiveAndComplex"	"Musician"	920	7	"Major"	"High"	"Root"	2	5	4	4
"S193"	"male"	"ReflectiveAndComplex"	"Non-musician"	285	6	"Major"	"High"	"Root"	1	1	7	4
"S194"	"male"	"UpbeatAndConventional"	"Musician"	992	6	"Major"	"High"	"Root"	3	5	6	5
"S195"	"male"	"ReflectiveAndComplex"	"Musician"	983	6	"Major"	"High"	"Root"	3	4	6	4
"S196"	"female"	"ReflectiveAndComplex"	"Non-musician"	100	6	"Major"	"High"	"Root"	7	6	2	1
"S197"	"female"	"IntenseAndRebellious"	"Non-musician"	136	7	"Major"	"High"	"Root"	1	4	7	7
"S198"	"male"	"ReflectiveAndComplex"	"Musician"	883	7	"Major"	"High"	"Root"	1	1	1	7
"S199"	"male"	"ReflectiveAndComplex"	"Musician"	537	7	"Major"	"High"	"Root"	2	2	7	2
"S200"	"male"	"IntenseAndRebellious"	"Non-musician"	254	3	"Major"	"High"	"Root"	3	3	4	4
"S201"	"male"	"IntenseAndRebellious"	"Musician"	868	1	"Major"	"High"	"Root"	1	4	7	2
"S202"	"male"	"EnergeticAndRhythmic"	"Musician"	726	6	"Major"	"High"	"Root"	3	2	7	5
"S203"	"male"	"EnergeticAndRhythmic"	"Non-musician"	180	5	"Major"	"High"	"Root"	1	4	4	4
"S204"	"female"	"ReflectiveAndComplex"	"Musician"	893	2	"Major"	"High"	"Root"	2	3	7	3
"S205"	"female"	"UpbeatAndConventional"	"Musician"	990	7	"Major"	"High"	"Root"	1	2	7	5
"S206"	"male"	"IntenseAndRebellious"	"Non-musician"	137	5	"Major"	"High"	"Root"	2	3	2	5
"S207"	"female"	"IntenseAndRebellious"	"Non-musician"	263	5	"Major"	"High"	"Root"	3	4	6	5
"S208"	"male"	"ReflectiveAndComplex"	"Non-musician"	353	6	"Major"	"High"	"Root"	4	2	6	3
"S209"	"male"	"IntenseAndRebellious"	"Musician"	703	3	"Major"	"High"	"Root"	2	2	6	4
"S210"	"male"	"ReflectiveAndComplex"	"Non-musician"	404	4	"Major"	"High"	"Root"	6	4	2	5
"S211"	"female"	"UpbeatAndConventional"	"Non-musician"	99	5	"Major"	"High"	"Root"	4	4	4	3
"S212"	"male"	"ReflectiveAndComplex"	"Non-musician"	444	5	"Major"	"High"	"Root"	1	2	5	4
"S213"	"female"	"ReflectiveAndComplex"	"Non-musician"	378	6	"Major"	"High"	"Root"	2	1	6	1
"S214"	"female"	"UpbeatAndConventional"	"Non-musician"	100	6	"Major"	"High"	"Root"	4	4	5	4
"S215"	"male"	"UpbeatAndConventional"	"Non-musician"	100	6	"Major"	"High"	"Root"	4	2	3	4
"S216"	"male"	"ReflectiveAndComplex"	"Non-musician"	403	7	"Major"	"High"	"Root"	1	1	7	2
"S217"	"male"	"IntenseAndRebellious"	"Non-musician"	309	6	"Major"	"High"	"Root"	3	4	6	4
"S218"	"male"	"IntenseAndRebellious"	"Non-musician"	175	6	"Major"	"High"	"Root"	3	4	6	4
"S219"	"female"	"EnergeticAndRhythmic"	"Musician"	989	5	"Major"	"High"	"Root"	1	1	6	5
"S220"	"male"	"IntenseAndRebellious"	"Non-musician"	81	7	"Major"	"High"	"Root"	2	4	7	3
"S221"	"male"	"IntenseAndRebellious"	"Non-musician"	470	7	"Major"	"High"	"Root"	1	3	7	6
"S222"	"female"	"IntenseAndRebellious"	"Musician"	899	2	"Major"	"High"	"Root"	5	5	5	4
"S223"	"female"	"ReflectiveAndComplex"	"Non-musician"	68	7	"Major"	"High"	"Root"	1	5	7	7
"S224"	"male"	"ReflectiveAndComplex"	"Non-musician"	31	5	"Major"	"High"	"Root"	3	4	4	3
"S225"	"female"	"IntenseAndRebellious"	"Musician"	546	7	"Major"	"High"	"Root"	4	5	7	6
"S226"	"female"	"UpbeatAndConventional"	"Non-musician"	54	7	"Major"	"High"	"Root"	4	6	7	6
"S227"	"male"	"IntenseAndRebellious"	"Musician"	734	5	"Major"	"High"	"Root"	5	6	5	3
"S228"	"female"	"IntenseAndRebellious"	"Non-musician"	221	6	"Major"	"High"	"Root"	1	5	7	3
"S229"	"male"	"IntenseAndRebellious"	"Musician"	848	4	"Major"	"High"	"Root"	2	5	6	6
"S230"	"female"	"ReflectiveAndComplex"	"Non-musician"	202	5	"Major"	"High"	"Root"	2	4	4	5
"S231"	"female"	"UpbeatAndConventional"	"Non-musician"	116	4	"Major"	"High"	"Root"	4	4	4	4
"S232"	"female"	"IntenseAndRebellious"	"Musician"	929	4	"Major"	"High"	"Root"	4	4	7	5
"S233"	"female"	"UpbeatAndConventional"	"Non-musician"	246	7	"Major"	"High"	"Root"	2	6	7	6
"S234"	"male"	"ReflectiveAndComplex"	"Non-musician"	245	5	"Major"	"High"	"Root"	5	3	6	5
"S235"	"male"	"IntenseAndRebellious"	"Musician"	978	5	"Major"	"High"	"Root"	1	5	7	5
"S236"	"male"	"ReflectiveAndComplex"	"Musician"	972	5	"Major"	"High"	"Root"	2	3	6	6
"S237"	"male"	"ReflectiveAndComplex"	"Musician"	975	2	"Major"	"High"	"Root"	3	3	6	2
"S238"	"male"	"ReflectiveAndComplex"	"Musician"	904	2	"Major"	"High"	"Root"	2	3	4	3
"S239"	"female"	"ReflectiveAndComplex"	"Non-musician"	351	7	"Major"	"High"	"Root"	3	1	3	1
"S240"	"female"	"IntenseAndRebellious"	"Non-musician"	135	6	"Major"	"High"	"Root"	3	5	3	6
"S241"	"female"	"UpbeatAndConventional"	"Musician"	960	6	"Major"	"High"	"Root"	1	6	6	5
"S242"	"female"	"ReflectiveAndComplex"	"Musician"	509	6	"Major"	"High"	"Root"	3	4	6	4
"S243"	"female"	"UpbeatAndConventional"	"Non-musician"	81	4	"Major"	"High"	"Root"	7	7	2	4
"S244"	"female"	"UpbeatAndConventional"	"Non-musician"	293	3	"Major"	"High"	"Root"	3	3	7	3
"S245"	"female"	"ReflectiveAndComplex"	"Musician"	997	4	"Major"	"High"	"Root"	4	4	7	4
"S246"	"female"	"UpbeatAndConventional"	"Musician"	517	6	"Major"	"High"	"Root"	2	5	6	6
"S247"	"male"	"UpbeatAndConventional"	"Non-musician"	334	6	"Major"	"High"	"Root"	5	4	6	4
"S248"	"male"	"IntenseAndRebellious"	"Non-musician"	422	7	"Major"	"High"	"Root"	6	5	6	6
